path,total_conversions,total_null,total_conversion_value
Affiliates,0.0,969.0,0
Affiliates > Direct,0.0,109.0,0
Affiliates > Direct > Direct,0.0,26.0,0
Affiliates > Direct > Direct > Direct,0.0,8.0,0
Affiliates > Direct > Direct > Direct > Direct,0.0,2.0,0
Affiliates > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Affiliates > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Affiliates > Direct > Direct > Referral,0.0,1.0,0
Affiliates > Direct > Referral,0.0,7.0,0
Affiliates > Direct > Referral > Direct,0.0,2.0,0
Affiliates > Direct > Referral > Direct > Direct,0.0,2.0,0
Affiliates > Direct > Referral > Direct > Direct > Direct,0.0,2.0,0
Affiliates > Direct > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Affiliates > Organic Search,0.0,2.0,0
Affiliates > Organic Search > Affiliates,0.0,1.0,0
Affiliates > Organic Search > Affiliates > Direct,0.0,1.0,0
Affiliates > Paid Search,0.0,1.0,0
Affiliates > Referral,0.0,32.0,0
Affiliates > Referral > Affiliates,0.0,3.0,0
Affiliates > Referral > Affiliates > Direct,0.0,3.0,0
Affiliates > Referral > Affiliates > Direct > Direct,0.0,2.0,0
Affiliates > Referral > Affiliates > Direct > Direct > Referral,0.0,1.0,0
Affiliates > Referral > Affiliates > Direct > Referral,0.0,1.0,0
Affiliates > Referral > Direct,0.0,12.0,0
Affiliates > Referral > Direct > Direct,0.0,5.0,0
Affiliates > Referral > Direct > Direct > Direct,0.0,3.0,0
Affiliates > Referral > Direct > Direct > Direct > Direct,0.0,2.0,0
Affiliates > Referral > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Affiliates > Referral > Direct > Direct > Direct > Organic Search,0.0,1.0,0
Affiliates > Referral > Direct > Organic Search,0.0,1.0,0
Affiliates > Referral > Direct > Organic Search > Referral,0.0,1.0,0
Affiliates > Social,0.0,1.0,0
Direct,314.0,14828.0,0
Direct > Affiliates,0.0,26.0,0
Direct > Affiliates > Direct,0.0,7.0,0
Direct > Affiliates > Direct > Direct,0.0,1.0,0
Direct > Affiliates > Direct > Direct > Referral,0.0,1.0,0
Direct > Affiliates > Organic Search,0.0,1.0,0
Direct > Affiliates > Referral,0.0,2.0,0
Direct > Affiliates > Referral > Direct,0.0,1.0,0
Direct > Affiliates > Referral > Direct > Direct,0.0,1.0,0
Direct > Affiliates > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Affiliates > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Affiliates > Referral > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Affiliates > Referral > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct,101.0,2253.0,0
Direct > Direct > Direct,50.0,758.0,0
Direct > Direct > Direct > Direct,17.0,339.0,0
