path,total_conversions,total_conversion_value,total_null
Affiliates : Data Share Promo,0.0,0.0,969.0
Affiliates : Data Share Promo > Direct : (not set),0.0,0.0,109.0
Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set),0.0,0.0,26.0
Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,8.0
Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Referral : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Direct : (not set) > Referral : (not set),0.0,0.0,7.0
Affiliates : Data Share Promo > Direct : (not set) > Referral : (not set) > Direct : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Direct : (not set) > Referral : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Direct : (not set) > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Direct : (not set) > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Organic Search : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Organic Search : (not set) > Affiliates : Data Share Promo,0.0,0.0,1.0
Affiliates : Data Share Promo > Organic Search : (not set) > Affiliates : Data Share Promo > Direct : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Paid Search : AW - Accessories,0.0,0.0,1.0
Affiliates : Data Share Promo > Referral : (not set),0.0,0.0,32.0
Affiliates : Data Share Promo > Referral : (not set) > Affiliates : Data Share Promo,0.0,0.0,3.0
Affiliates : Data Share Promo > Referral : (not set) > Affiliates : Data Share Promo > Direct : (not set),0.0,0.0,3.0
Affiliates : Data Share Promo > Referral : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Referral : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Referral : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Referral : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Referral : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set),0.0,0.0,12.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,5.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,3.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,2.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Organic Search : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Organic Search : (not set) > Referral : (not set),0.0,0.0,1.0
Affiliates : Data Share Promo > Social : (not set),0.0,0.0,1.0
Direct : (not set),314.0,31938.920000000042,14828.0
Direct : (not set) > Affiliates : Data Share Promo,0.0,0.0,26.0
Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set),0.0,0.0,7.0
Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Referral : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Organic Search : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set),0.0,0.0,2.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Affiliates : Data Share Promo > Referral : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set),101.0,15094.069999999996,2253.0
Direct : (not set) > Direct : (not set) > Direct : (not set),50.0,6725.3099999999995,758.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),17.0,2698.88,339.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo,0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Display : (not set),0.0,0.0,1.0
Direct : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Affiliates : Data Share Promo > Direct : (not set) > Direct : (not set) > Direct : (not set) > Organic Search : (not set) > Direct : (not set) > Direct : (not set) > Direct : (not set) > Display : (not set) > Direct : (not set),0.0,0.0,1.0
